Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
126,1355;0;0;ON;0,65;0,5;0;False;False
156,8781;0;1;ON;0,65;0,25;1;False;True
166,2787;0;2;ON;0,65;1,05;0;True;True
176,0465;0;3;ON;0,65;1,25;1;False;False
185,0602;0;4;ON;0,65;0,04999995;1;True;True
197,2397;0;5;ON;0,65;0,65;0;True;False
206,4836;0;6;ON;0,65;0,8;0;False;True
218,061;1;0;ON;0,65;0,65;1;False;False
227,1231;1;1;ON;0,65;0,5;0;False;False
236,6651;1;2;ON;0,65;1,05;1;False;False
245,6721;1;3;ON;0,65;0,25;0;False;False
254,1451;1;4;ON;0,65;0,04999995;1;True;True
262,9068;1;5;ON;0,65;0,8;0;False;True
272,4183;1;6;ON;0,65;1,25;1;False;False
282,7958;2;0;ON;0,65;1,25;1;False;False
290,4438;2;1;ON;0,65;0,5;0;False;False
298,839;2;2;ON;0,65;0,25;0;False;False
308,6521;2;3;ON;0,65;0,65;1;False;False
317,5935;2;4;ON;0,65;0,04999995;0;False;False
326,3301;2;5;ON;0,65;1,05;1;False;False
334,2029;2;6;ON;0,65;0,8;1;False;False
343,1022;3;0;ON;0,65;1,05;0;True;True
350,3159;3;1;ON;0,65;0,5;1;True;True
358,8302;3;2;ON;0,65;0,25;0;False;False
366,9683;3;3;ON;0,65;1,25;1;False;False
374,3988;3;4;ON;0,65;0,8;0;True;True
381,8376;3;5;ON;0,65;0,65;1;False;False
389,3989;3;6;ON;0,65;0,04999995;0;False;False
399,3043;4;0;ON;0,65;1,05;0;True;True
407,7765;4;1;ON;0,65;0,04999995;1;True;True
416,4519;4;2;ON;0,65;0,25;0;False;False
425,0097;4;3;ON;0,65;0,5;1;True;True
433,0991;4;4;ON;0,65;0,8;1;False;False
440,8355;4;5;ON;0,65;1,25;0;True;True
448,1707;4;6;ON;0,65;0,65;1;True;False
469,1891;5;0;RELEASING;0,65;0,65;0;False;False
479,4633;5;1;RELEASING;0,65;1,05;1;False;False
489,6037;5;2;RELEASING;0,65;0,5;0;False;False
499,1701;5;3;RELEASING;0,65;0,8;0;True;True
507,5488;5;4;RELEASING;0,65;0,25;1;True;True
517,1398;5;5;RELEASING;0,65;1,25;1;False;False
525,4919;5;6;RELEASING;0,65;0,04999995;0;False;False
535,018;6;0;RELEASING;0,65;0,8;0;False;True
543,4804;6;1;RELEASING;0,65;0,5;1;True;True
553,3475;6;2;RELEASING;0,65;1,05;0;True;True
562,1158;6;3;RELEASING;0,65;0,25;1;True;True
572,5767;6;4;RELEASING;0,65;0,65;1;False;False
582,0792;6;5;RELEASING;0,65;0,04999995;0;False;False
590,2706;6;6;RELEASING;0,65;1,25;1;False;False
599,3215;7;0;RELEASING;0,65;1,05;0;True;True
608,7255;7;1;RELEASING;0,65;0,25;0;False;False
617,6081;7;2;RELEASING;0,65;1,25;1;False;False
626,1326;7;3;RELEASING;0,65;0,5;0;True;False
633,8754;7;4;RELEASING;0,65;0,8;1;False;False
642,808;7;5;RELEASING;0,65;0,04999995;1;False;True
652,943;7;6;RELEASING;0,65;0,65;0;False;False
664,2675;8;0;RELEASING;0,65;0,8;0;True;True
673,6181;8;1;RELEASING;0,65;1,05;1;False;False
681,0325;8;2;RELEASING;0,65;0,5;0;False;False
690,3534;8;3;RELEASING;0,65;1,25;1;False;False
698,6347;8;4;RELEASING;0,65;0,65;1;True;False
706,5134;8;5;RELEASING;0,65;0,25;0;False;False
715,5197;8;6;RELEASING;0,65;0,04999995;1;True;True
726,5104;9;0;RELEASING;0,65;1,25;0;True;True
734,7914;9;1;RELEASING;0,65;0,8;1;False;False
742,9022;9;2;RELEASING;0,65;0,5;0;False;False
750,4482;9;3;RELEASING;0,65;0,25;0;False;False
757,9796;9;4;RELEASING;0,65;0,65;1;False;False
765,5215;9;5;RELEASING;0,65;0,04999995;1;True;True
774,0283;9;6;RELEASING;0,65;1,05;0;False;True
