Timestamp;Block;Trial;Condition;rendered;Answer
459,4716;0;0;1;-1;Bump
475,0624;0;1;1;1;Hole
491,9805;0;2;1;1;Hole
501,7132;0;3;1;-1;Bump
510,244;0;4;1;1;Hole
518,2293;0;5;1;-1;Bump
526,0131;0;6;1;-1;Bump
533,4171;0;7;1;1;Hole
540,5357;0;8;1;1;Hole
547,6786;0;9;1;-1;Bump
556,8889;0;10;1;-1;Bump
565,0887;0;11;1;1;Hole
573,4927;0;12;1;1;Hole
582,1457;0;13;1;-1;Bump
590,65;0;14;1;-1;Bump
598,3833;0;15;1;1;Hole
606,9397;0;16;1;1;Hole
615,2411;0;17;1;-1;Bump
623,3019;0;18;1;1;Hole
631,105;0;19;1;-1;Bump
926,523;1;0;2;-1;Bump
941,088;1;1;2;1;Hole
957,6849;1;2;2;-1;Bump
975,0255;1;3;2;1;Hole
983,6017;1;4;2;-1;Bump
990,4764;1;5;2;1;Hole
1003,764;1;6;2;-1;Bump
1012,783;1;7;2;1;Hole
1022,4;1;8;2;-1;Bump
1029,316;1;9;2;1;Hole
1034,973;1;10;2;1;Hole
1041,652;1;11;2;-1;Bump
1048,506;1;12;2;-1;Bump
1057,74;1;13;2;1;Hole
1064,784;1;14;2;1;Hole
1077,284;1;15;2;-1;Bump
1084,604;1;16;2;-1;Bump
1091,216;1;17;2;1;Hole
1098,021;1;18;2;1;Hole
1109,52;1;19;2;-1;Bump
1364,766;2;0;3;1;Yes
1383,997;2;1;3;-1;No
1414,954;2;2;3;-1;Yes
1441,009;2;3;3;1;No
1459,706;2;4;3;-1;No
1479,247;2;5;3;1;Yes
1502,658;2;6;3;1;Yes
1524,6;2;7;3;-1;No
1542,888;2;8;3;1;Yes
1560,258;2;9;3;-1;No
1581,405;2;10;3;-1;Yes
1602,474;2;11;3;1;Yes
1621,639;2;12;3;-1;No
1646,361;2;13;3;1;Yes
1666,109;2;14;3;1;Yes
1690,192;2;15;3;-1;No
1708,85;2;16;3;-1;No
1732,115;2;17;3;1;Yes
1751,776;2;18;3;1;Yes
1766,671;2;19;3;-1;No
