Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff
54,7645;0;0;RELEASING;0,65;0,725;1;False;False
66,07278;0;1;RELEASING;0,65;0,35;0;False;False
77,34973;0;2;RELEASING;0,65;0,575;0;False;False
86,82736;0;3;RELEASING;0,65;0,5;1;True;True
96,79908;0;4;RELEASING;0,65;0,95;0;True;True
108,7565;0;5;RELEASING;0,65;0,65;1;True;False
118,5424;0;6;RELEASING;0,65;0,8;0;True;True
130,4876;1;0;RELEASING;0,65;0,725;1;False;False
140,0941;1;1;RELEASING;0,65;0,575;1;True;True
149,1889;1;2;RELEASING;0,65;0,8;0;True;True
158,1517;1;3;RELEASING;0,65;0,65;0;False;False
167,5193;1;4;RELEASING;0,65;0,5;1;True;True
177,7744;1;5;RELEASING;0,65;0,95;1;False;False
187,707;1;6;RELEASING;0,65;0,35;0;False;False
200,1533;2;0;RELEASING;0,65;0,95;1;False;False
209,2581;2;1;RELEASING;0,65;0,725;0;False;True
218,6806;2;2;RELEASING;0,65;0,35;0;False;False
229,723;2;3;RELEASING;0,65;0,65;1;True;False
239,966;2;4;RELEASING;0,65;0,8;1;False;False
250,6212;2;5;RELEASING;0,65;0,5;0;False;False
260,5963;2;6;RELEASING;0,65;0,575;1;True;True
274,3;3;0;RELEASING;0,65;0,65;0;False;False
283,1448;3;1;RELEASING;0,65;0,5;0;False;False
292,1227;3;2;RELEASING;0,65;0,8;1;False;False
301,0651;3;3;RELEASING;0,65;0,575;1;True;True
309,758;3;4;RELEASING;0,65;0,35;0;False;False
318,8485;3;5;RELEASING;0,65;0,725;0;False;True
327,5601;3;6;RELEASING;0,65;0,95;1;False;False
340,0005;4;0;RELEASING;0,65;0,65;1;False;False
348,5559;4;1;RELEASING;0,65;0,575;0;True;False
357,8669;4;2;RELEASING;0,65;0,5;0;False;False
368,7274;4;3;RELEASING;0,65;0,725;1;False;False
379,0504;4;4;RELEASING;0,65;0,35;0;False;False
389,4817;4;5;RELEASING;0,65;0,8;1;False;False
399,0488;4;6;RELEASING;0,65;0,95;1;False;False
410,9918;5;0;ON;0,65;0,575;0;False;False
421,7831;5;1;ON;0,65;0,8;0;False;True
431,3571;5;2;ON;0,65;0,95;1;False;False
440,0517;5;3;ON;0,65;0,35;1;True;True
449,1799;5;4;ON;0,65;0,5;0;False;False
458,2165;5;5;ON;0,65;0,725;1;False;False
467,2442;5;6;ON;0,65;0,65;0;False;False
487,8315;6;0;ON;0,65;0,5;1;True;True
497,4687;6;1;ON;0,65;0,575;0;False;False
507,0769;6;2;ON;0,65;0,8;1;False;False
515,7752;6;3;ON;0,65;0,35;0;False;False
525,3464;6;4;ON;0,65;0,725;1;False;False
534,3895;6;5;ON;0,65;0,65;0;True;False
543,675;6;6;ON;0,65;0,95;1;False;False
555,6526;7;0;ON;0,65;0,95;0;True;True
564,2845;7;1;ON;0,65;0,65;1;True;False
573,123;7;2;ON;0,65;0,5;0;False;False
582,6982;7;3;ON;0,65;0,725;0;True;True
590,8588;7;4;ON;0,65;0,575;1;True;True
599,3962;7;5;ON;0,65;0,8;1;True;False
609,4985;7;6;ON;0,65;0,35;0;False;False
619,273;8;0;ON;0,65;0,65;0;False;False
629,2496;8;1;ON;0,65;0,35;1;True;True
638,3579;8;2;ON;0,65;0,725;0;True;True
647,9811;8;3;ON;0,65;0,575;1;True;True
657,1615;8;4;ON;0,65;0,5;1;True;True
666,2862;8;5;ON;0,65;0,95;0;True;True
676,043;8;6;ON;0,65;0,8;1;True;False
686,0361;9;0;ON;0,65;0,35;0;False;False
695,8427;9;1;ON;0,65;0,95;1;False;False
705,3096;9;2;ON;0,65;0,8;0;True;True
715,1306;9;3;ON;0,65;0,65;0;False;False
723,8524;9;4;ON;0,65;0,5;1;True;True
732,8101;9;5;ON;0,65;0,575;1;True;True
742,8091;9;6;ON;0,65;0,725;0;False;True
