User;Condition;accuracy;error rate;precision;recall;MCC;Condition;accuracy;error rate;precision;recall;MCC;Condition;accuracy;error rate;precision;recall;MCC
0;C1;90,0%;10,0%;100,0%;80,0%;0,816;C2;90,0%;10,0%;90,0%;90,0%;0,800;C3;75,0%;25,0%;77,8%;70,0%;0,503
1;C1;75,0%;25,0%;77,8%;70,0%;0,503;C2;60,0%;40,0%;66,7%;40,0%;0,218;C3;45,0%;55,0%;45,5%;50,0%;-0,101
2;C1;95,0%;5,0%;90,9%;100,0%;0,905;C2;85,0%;15,0%;88,9%;80,0%;0,704;C3;85,0%;15,0%;81,8%;90,0%;0,704
3;C1;100,0%;0,0%;100,0%;100,0%;1,000;C2;90,0%;10,0%;100,0%;80,0%;0,816;C3;65,0%;35,0%;61,5%;80,0%;0,314
4;C1;100,0%;0,0%;100,0%;100,0%;1,000;C2;40,0%;60,0%;0,0%;0,0%;-0,333;C3;60,0%;40,0%;60,0%;60,0%;0,200
5;C1;100,0%;0,0%;100,0%;100,0%;1,000;C2;85,0%;15,0%;88,9%;80,0%;0,704;C3;65,0%;35,0%;61,5%;80,0%;0,314
6;C1;95,0%;5,0%;100,0%;90,0%;0,905;C2;90,0%;10,0%;100,0%;80,0%;0,816;C3;40,0%;60,0%;25,0%;10,0%;-0,250
7;C1;80,0%;20,0%;100,0%;60,0%;0,655;C2;80,0%;20,0%;100,0%;60,0%;0,655;C3;50,0%;50,0%;50,0%;70,0%;0,000
8;C1;50,0%;50,0%;50,0%;70,0%;0,000;C2;55,0%;45,0%;54,5%;60,0%;0,101;C3;45,0%;55,0%;42,9%;30,0%;-0,105
9;C1;35,0%;65,0%;36,4%;40,0%;-0,302;C2;60,0%;40,0%;60,0%;60,0%;0,200;C3;50,0%;50,0%;50,0%;30,0%;0,000
10;C1;80,0%;20,0%;87,5%;70,0%;0,612;C2;70,0%;30,0%;75,0%;60,0%;0,408;C3;55,0%;45,0%;53,8%;70,0%;0,105
11;C1;55,0%;45,0%;54,5%;60,0%;0,101;C2;70,0%;30,0%;70,0%;70,0%;0,400;C3;75,0%;25,0%;66,7%;100,0%;0,577
12;C1;95,0%;5,0%;100,0%;90,0%;0,905;C2;95,0%;5,0%;100,0%;90,0%;0,905;C3;85,0%;15,0%;88,9%;80,0%;0,704
;;0,000;0,000;;;-1,000;;;;;;;;;;;;
;;1,000;1,000;;;1,000;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
