Timestamp;Block;Trial;HringState;RefenceStiffnes;VariableStiffnes;VariablePiston;UserSelection;TrueStiff;UserSelectionNw;x axis;y axis
54,7645;0;1;RELEASING;0,65;0,35;0;False;False;FAUX;-0,3;VRAI
66,07278;1;6;RELEASING;0,65;0,35;0;False;False;FAUX;-0,3;VRAI
77,34973;2;2;RELEASING;0,65;0,35;0;False;False;FAUX;-0,3;VRAI
86,82736;3;4;RELEASING;0,65;0,35;0;False;False;FAUX;-0,3;VRAI
96,79908;4;4;RELEASING;0,65;0,35;0;False;False;FAUX;-0,3;VRAI
108,7565;0;3;RELEASING;0,65;0,5;1;True;True;VRAI;-0,15;VRAI
118,5424;1;4;RELEASING;0,65;0,5;1;True;True;VRAI;-0,15;VRAI
130,4876;2;5;RELEASING;0,65;0,5;0;False;False;FAUX;-0,15;VRAI
140,0941;3;1;RELEASING;0,65;0,5;0;False;False;FAUX;-0,15;VRAI
149,1889;4;2;RELEASING;0,65;0,5;0;False;False;FAUX;-0,15;VRAI
158,1517;0;2;RELEASING;0,65;0,575;0;False;False;FAUX;-0,075;VRAI
167,5193;1;1;RELEASING;0,65;0,575;1;True;True;VRAI;-0,075;VRAI
177,7744;2;6;RELEASING;0,65;0,575;1;True;True;VRAI;-0,075;VRAI
187,707;3;3;RELEASING;0,65;0,575;1;True;True;VRAI;-0,075;VRAI
200,1533;4;1;RELEASING;0,65;0,575;0;True;False;VRAI;-0,075;FAUX
209,2581;0;5;RELEASING;0,65;0,65;1;True;False;VRAI;0;VRAI
218,6806;1;3;RELEASING;0,65;0,65;0;False;False;FAUX;0;VRAI
229,723;2;3;RELEASING;0,65;0,65;1;True;False;VRAI;0;VRAI
239,966;3;0;RELEASING;0,65;0,65;0;False;False;FAUX;0;VRAI
250,6212;4;0;RELEASING;0,65;0,65;1;False;False;FAUX;0;FAUX
260,5963;0;0;RELEASING;0,65;0,725;1;False;False;FAUX;0,075;FAUX
