Timestamp;Block;Trial;Condition;SwipeDirection;rendered;Answer
709,4594;0;0;2;1;-1;Bump
721,3139;0;1;2;1;1;Hole
734,9608;0;2;2;-1;1;Bump
747,9995;0;3;2;-1;-1;Bump
761,723;0;4;2;-1;-1;Bump
778,4369;0;5;2;-1;1;Bump
797,9586;0;6;2;1;1;Hole
808,2254;0;7;2;1;-1;Hole
818,0056;0;8;2;-1;-1;Bump
829,6343;0;9;2;-1;1;Bump
842,8239;0;10;2;1;1;Bump
851,8423;0;11;2;1;-1;Bump
867,0124;0;12;2;-1;1;Bump
880,157;0;13;2;-1;-1;Bump
890,8291;0;14;2;1;-1;Bump
900,0913;0;15;2;1;1;Hole
907,9005;0;16;2;1;1;Hole
915,2422;0;17;2;1;-1;Hole
923,9639;0;18;2;-1;-1;Bump
933,04;0;19;2;-1;1;Bump
1091,875;1;0;3;-1;-1;No
1110,712;1;1;3;-1;1;Yes
1135,417;1;2;3;1;1;Yes
1150,851;1;3;3;1;-1;Yes
1167,477;1;4;3;1;1;No
1179,581;1;5;3;1;-1;No
1194,131;1;6;3;-1;-1;Yes
1203,727;1;7;3;-1;1;No
1216,569;1;8;3;1;1;No
1229,647;1;9;3;1;-1;No
1244,366;1;10;3;-1;1;Yes
1256,508;1;11;3;-1;-1;Yes
1267,741;1;12;3;-1;1;No
1278,711;1;13;3;-1;-1;Yes
1287,502;1;14;3;1;1;No
1298,085;1;15;3;1;-1;No
1307,177;1;16;3;1;1;Yes
1315,932;1;17;3;1;-1;Yes
1328,265;1;18;3;-1;-1;Yes
1337,554;1;19;3;-1;1;Yes
1445,15;2;0;1;1;1;Bump
1451,144;2;1;1;1;-1;Bump
1458,466;2;2;1;-1;1;Hole
1488,327;2;3;1;-1;-1;Bump
1495,115;2;4;1;1;1;Hole
1501,546;2;5;1;1;-1;Bump
1507,975;2;6;1;-1;-1;Bump
1515,153;2;7;1;-1;1;Hole
1521,586;2;8;1;1;-1;Bump
1528,641;2;9;1;1;1;Hole
1535,148;2;10;1;-1;1;Hole
1541,005;2;11;1;-1;-1;Bump
1548,354;2;12;1;-1;1;Hole
1554,57;2;13;1;-1;-1;Bump
1560,94;2;14;1;1;1;Bump
1601,609;2;15;1;1;-1;Hole
1625,699;2;16;1;1;1;Hole
1630,859;2;17;1;1;-1;Hole
1636,564;2;18;1;-1;-1;Bump
1641,445;2;19;1;-1;1;Bump
